Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Final Mutual Inductance (nH)
0.13412333,0.5382568,-5.6147404,0.13304704,0.536923,-7.2870774,1.132643,0.14907607,5.000957,3.991885,28.339973,22.618435,141.69435,113.092224,661.3612
0.05284759,0.2342187,29.485771,0.051274426,0.22479542,30.509823,0.6000401,0.15011977,5.001387,3.9921563,28.339155,22.617733,141.69461,113.09187,45.843605
0.101699986,0.12602381,29.377329,0.10143637,0.12479009,28.050013,0.57828593,0.14983651,5.001074,3.9919302,28.33927,22.618504,141.69585,113.0925,193.81964
0.08286098,0.043261874,34.009083,0.084295966,0.06624316,32.752785,0.4459672,0.1503773,5.000724,3.9922957,28.338358,22.61789,141.69519,113.09236,20.27788
0.09789727,0.2613996,24.085363,0.09747787,0.27873716,22.160221,0.6538813,0.14980331,5.0007706,3.9923792,28.33893,22.61754,141.69505,113.092476,176.40128
0.13531478,0.15671861,30.06814,0.13582003,0.14829083,29.832363,0.45163545,0.15023583,5.001332,3.9912994,28.338976,22.618284,141.69516,113.092735,80.17308
0.124462985,0.3671109,28.317844,0.12294309,0.3585635,28.238495,0.5693541,0.1503527,5.000763,3.9912694,28.33932,22.618568,141.69519,113.09157,225.74362
0.07758074,0.42128235,15.771993,0.08019144,0.41004047,15.380603,0.68372315,0.14990087,5.001213,3.9917684,28.338787,22.618166,141.69502,113.09298,161.44351
0.14766583,0.06026087,30.901365,0.1505599,0.05641975,31.87306,0.32302788,0.1509703,5.0012774,3.9910314,28.338425,22.61821,141.69527,113.092316,-24.06087
0.08190979,0.23113672,25.49936,0.0819809,0.23563448,23.5465,0.6800107,0.14979745,5.0011406,3.992554,28.338902,22.617908,141.69551,113.09316,161.77113
0.15687773,0.2672397,21.28269,0.15503001,0.2725711,19.727432,0.63597137,0.15022887,5.0013785,3.9914393,28.339281,22.618265,141.69504,113.09191,303.58795
0.12585506,0.5112569,7.1600595,0.1257465,0.50595033,6.5573874,1.1215509,0.14943172,5.0016637,3.992126,28.340292,22.618782,141.69383,113.090935,773.9855
0.117614,0.26489305,28.764534,0.11848884,0.25535983,28.170944,0.48853993,0.15007527,5.001521,3.991535,28.338762,22.618496,141.69518,113.09344,54.433292
0.12976874,0.036679417,25.244923,0.13082977,0.025440503,25.520054,0.330531,0.15053204,5.0009284,3.9911804,28.338266,22.61856,141.69508,113.092865,-54.532482
0.14405997,0.14043044,23.738169,0.14489584,0.15047976,22.198893,0.55520546,0.1499098,5.0016437,3.9916732,28.339127,22.61771,141.69496,113.09257,181.92448
0.13820131,0.10679562,28.1285,0.13515434,0.11707565,27.931469,0.6615429,0.14997353,5.00077,3.9924831,28.339201,22.618528,141.69435,113.09209,292.65167
0.13250977,0.24626543,19.413357,0.13185976,0.23147595,20.189096,0.58386296,0.15012024,5.0009413,3.9918263,28.338436,22.619116,141.69466,113.09381,127.46457
0.07474727,0.22529662,29.965717,0.07500919,0.22596878,28.617947,0.7293751,0.14997397,5.001278,3.9922965,28.339445,22.618872,141.69547,113.091576,331.30588
0.15323345,-0.052815583,28.33135,0.15652736,-0.049933508,28.127813,0.36730814,0.15044263,5.002323,3.9914367,28.338715,22.617605,141.69534,113.09275,-12.5781765
0.08426416,0.00012899251,32.18672,0.08360396,0.0025540434,32.357357,0.6356088,0.14968458,5.001633,3.9928646,28.339077,22.618887,141.6952,113.09303,164.83516
0.11868118,0.21078603,25.999897,0.11834598,0.20247337,25.716196,0.5049309,0.15036123,5.00115,3.9915338,28.338718,22.617458,141.69487,113.092186,86.44138
0.12133056,0.2257575,18.016802,0.12476444,0.22546911,16.517721,0.65503216,0.1499973,5.001032,3.991836,28.33892,22.61786,141.69539,113.092476,263.10123
0.091079794,0.08850662,32.44987,0.09094331,0.09694664,31.726242,0.5251271,0.15008193,5.000758,3.9921901,28.338844,22.618479,141.69525,113.092384,110.63355
0.13904636,0.4123676,8.039197,0.13860668,0.41676885,6.7791953,0.8678715,0.1496802,5.0013347,3.9916468,28.339663,22.618156,141.69484,113.09198,455.8041
0.138825,0.06515756,27.438534,0.13843153,0.07032375,26.366627,0.48073298,0.1502185,5.000925,3.9920416,28.338545,22.61788,141.69514,113.09293,75.732895
0.12546305,0.4865268,10.483915,0.124740444,0.48334983,8.705183,0.9031689,0.14939405,5.0010896,3.9919357,28.33965,22.618244,141.69434,113.09203,513.1138
0.1057859,0.17377111,30.765808,0.10635999,0.16299519,29.852516,0.5152827,0.15011933,5.001213,3.9917529,28.338984,22.618015,141.69595,113.093025,68.16659
0.133706,0.23205289,8.420629,0.13727903,0.22981401,6.295751,0.71041745,0.14955321,5.00144,3.9913628,28.339376,22.617382,141.69545,113.0928,271.611
0.14184922,-0.031675525,30.8683,0.14112398,-0.029465029,31.043697,0.58382124,0.15037334,5.001466,3.9924855,28.339008,22.618126,141.69489,113.09182,192.32957
0.13701172,0.27275833,6.6379223,0.13611893,0.26927605,6.341473,0.99404174,0.14964126,5.0009823,3.9926617,28.339285,22.618486,141.6942,113.09216,556.6849
0.11819623,0.08509391,48.0167,0.114421085,0.08255272,48.62564,0.28930035,0.15054274,5.0003514,3.9913788,28.339174,22.618677,141.6949,113.09151,5.4204497
0.1499656,0.24146974,1.4102616,0.15207702,0.25653785,-0.7846375,1.148358,0.14919275,5.001169,3.9931338,28.339643,22.617588,141.69528,113.09253,673.231
0.0925797,0.56521696,7.7278295,0.09079745,0.55669636,5.9460444,0.89622027,0.1491907,5.0005517,3.9918995,28.339455,22.617981,141.69444,113.09212,425.9214
0.13724469,-0.04162521,32.45687,0.13613391,-0.029384028,33.065163,0.46151915,0.15045066,5.0009227,3.9917405,28.33908,22.618235,141.69543,113.09188,91.03397
0.15027535,0.17109358,13.697481,0.14866494,0.18856813,12.559486,0.85379434,0.14974824,5.0004487,3.9923844,28.339455,22.617907,141.69516,113.09216,424.92023
0.10357374,0.14576025,29.942703,0.10213064,0.15931483,28.954697,0.6470098,0.14983092,5.000945,3.9922266,28.339405,22.618359,141.69496,113.09176,283.98657
0.124513745,0.119669884,26.900158,0.12373802,0.12138663,26.514187,0.48017266,0.1504766,5.000774,3.9921937,28.338137,22.61813,141.69493,113.093315,24.85089
0.09892692,0.4634775,14.622469,0.09925986,0.44223177,14.333578,0.828279,0.14968635,5.001567,3.9915426,28.339762,22.618261,141.69453,113.09179,388.82047
0.12039731,0.32390672,19.105316,0.12076034,0.32140368,18.078493,0.7012596,0.14994198,5.0018215,3.9914956,28.339415,22.61862,141.69507,113.09192,330.21927
0.13198657,0.14802988,24.409475,0.13239215,0.13010012,24.538511,0.48044708,0.15059562,5.0013723,3.9915786,28.338509,22.61836,141.69487,113.09245,81.96066
0.11828068,0.12815344,34.72744,0.117608406,0.12319167,34.96046,0.42777994,0.15047424,5.0009346,3.99169,28.338743,22.61898,141.69527,113.092354,84.76974
0.095279075,0.29088536,27.198858,0.09499785,0.2829553,26.02613,0.53508043,0.15023027,5.001605,3.9918554,28.33873,22.617842,141.69504,113.09284,60.96785
0.05705744,0.2994121,34.13183,0.056694143,0.28806576,34.44256,0.52774286,0.15014282,5.000738,3.9917307,28.339012,22.619226,141.69499,113.09168,133.62894
0.106488466,0.22573811,39.422817,0.10454987,0.22705904,39.434174,0.43190402,0.15013981,5.0007296,3.991734,28.338991,22.619354,141.69534,113.09282,72.40516
0.12057103,0.31133965,20.201706,0.12098017,0.29848495,19.321781,0.65707344,0.14992346,5.001479,3.991557,28.339376,22.61778,141.69417,113.09186,287.16306
0.10276385,0.4050857,22.119688,0.100604415,0.4096094,19.972794,0.83570784,0.14941542,5.0013475,3.9921532,28.339914,22.618046,141.69522,113.09179,424.99362
0.089360245,0.60770476,8.390226,0.08900984,0.5890159,8.09651,0.93532425,0.14960591,5.001306,3.992056,28.339298,22.618591,141.6946,113.0928,433.83258
0.10581816,0.13519484,27.359896,0.105888374,0.13764156,25.91227,0.47525963,0.15029758,5.001264,3.9916482,28.338718,22.618217,141.69524,113.092575,78.43384
0.11487124,0.056798134,34.77525,0.11320824,0.067202464,34.086784,0.44587848,0.14984408,5.000833,3.9916778,28.339273,22.618422,141.69539,113.09243,98.43349
0.14969338,0.22577317,12.301231,0.14942272,0.21887149,12.329053,0.87943125,0.15008363,5.001597,3.9922183,28.339361,22.618322,141.69414,113.09137,517.7254
0.16935606,0.44411594,8.522753,0.16794033,0.43583292,8.48779,0.91929215,0.14936963,5.0014296,3.9916477,28.340088,22.618315,141.69391,113.09188,583.23645
0.123150714,0.29791853,24.407293,0.12413443,0.29262644,23.690956,0.5501769,0.15013622,5.0013185,3.9913838,28.33904,22.618155,141.69487,113.0923,179.63501
0.1255348,0.23817635,20.665863,0.12675658,0.22886722,18.76016,0.69192785,0.14979443,5.0016475,3.9917655,28.339281,22.617922,141.69559,113.09269,282.57404
0.13311197,0.07850414,35.40323,0.13159344,0.072754145,35.774742,0.36326545,0.15069471,5.0011253,3.991476,28.338669,22.61881,141.69534,113.09238,11.057299
0.1509112,0.57247317,-3.4024093,0.15116844,0.57080525,-5.7946277,1.2040493,0.14883871,5.001821,3.9918904,28.340626,22.617657,141.69463,113.091866,797.5052
0.14408879,0.37583596,18.864185,0.14342682,0.37892827,17.823526,0.69734937,0.149638,5.00078,3.9917793,28.33928,22.61807,141.69403,113.0927,312.69415
0.10952229,0.15685593,24.01084,0.11159401,0.1427252,23.846203,0.6067723,0.15008168,5.0015044,3.9919684,28.3389,22.61868,141.6955,113.09284,158.3739
0.14152326,0.26600862,21.27797,0.14076799,0.28344807,19.465048,0.747681,0.14980924,5.001485,3.991707,28.339916,22.618046,141.6956,113.09153,407.7796
0.16913976,0.3401805,4.315566,0.16818914,0.3464956,2.4917617,0.9212895,0.14953585,5.001571,3.991672,28.339954,22.617054,141.69415,113.091415,526.1663
0.13505909,0.16113192,13.455233,0.13643467,0.13283092,16.002628,0.70578766,0.14996038,5.0023727,3.991978,28.338795,22.618809,141.69405,113.09339,251.16826
0.11235062,0.31031764,24.96822,0.11406414,0.29532582,24.537743,0.65825486,0.14990523,5.001418,3.9919372,28.339102,22.618395,141.69518,113.09284,242.23053
0.12255145,0.20103288,32.315033,0.12231949,0.19691892,31.630795,0.44510874,0.15032649,5.001532,3.9914775,28.339005,22.617937,141.69511,113.09243,75.24087
0.12937936,0.2554774,21.647263,0.12626976,0.25397173,20.64326,0.6342497,0.15018606,5.000439,3.9919965,28.33884,22.618536,141.69514,113.09262,214.14604
0.11668366,0.4445194,16.134745,0.11554959,0.45102817,14.729716,0.8220896,0.14993504,5.001308,3.991774,28.339655,22.61824,141.69543,113.09165,414.00577
0.09731711,0.13165073,27.142786,0.09625644,0.1486538,25.985935,0.6187855,0.14977579,5.0003824,3.9925635,28.338789,22.618334,141.69487,113.09268,193.93439
