Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Final Mutual Inductance (nH)
0.06741511,0.22532767,20.419765,0.06724097,0.22347738,20.403807,0.5392836,0.15025003,5.0007763,3.9919312,28.338837,22.617805,141.69559,113.09286,-32.983097
0.07211897,0.49718493,49.836407,0.07173705,0.49915883,49.725224,0.25725377,0.15034358,5.000947,3.9910283,28.338556,22.618645,141.69456,113.092316,-28.757841
0.11885695,0.36420918,38.489937,0.11865707,0.36487204,38.477634,0.30943367,0.15077658,5.001717,3.9911814,28.338938,22.618513,141.69489,113.09245,43.7599
0.12666108,0.36229432,44.48374,0.12638232,0.3648228,44.465157,0.3147787,0.14999919,5.0011234,3.9908378,28.338934,22.618315,141.69566,113.092865,111.044395
0.101986855,0.48094237,40.902916,0.10169614,0.48140505,40.87714,0.3721048,0.15026028,5.0009627,3.991351,28.338747,22.618727,141.69556,113.09262,94.32669
0.118330725,0.33754513,36.21977,0.118125476,0.3384379,36.088108,0.3515626,0.15038736,5.0015087,3.9914477,28.338736,22.618721,141.69496,113.09203,29.480993
0.10248831,0.72564876,47.595512,0.10223963,0.7277786,47.606796,0.27335072,0.14943479,5.0009365,3.9912736,28.339846,22.61879,141.69443,113.0928,95.457825
0.08332681,0.6566866,28.37829,0.08325714,0.6564814,28.208149,0.4606739,0.1506925,5.0005293,3.9915586,28.338026,22.618229,141.69417,113.09236,57.336315
0.114065595,0.3978867,37.36377,0.11372317,0.39827597,37.27519,0.3163984,0.14986077,5.0006347,3.9913108,28.339542,22.618603,141.69615,113.092445,-2.9766479
0.08670281,0.4805249,33.684326,0.08643502,0.4807166,33.505074,0.46967116,0.14965044,5.000831,3.9913483,28.33929,22.618923,141.69443,113.09279,95.23705
0.109083705,0.5668723,35.95627,0.10871078,0.568732,35.961792,0.48084673,0.15025494,5.0010633,3.9907875,28.33969,22.618904,141.69508,113.09215,238.8513
0.11293787,0.43667343,39.0676,0.11271539,0.43904394,38.988922,0.3778575,0.14957969,5.0005994,3.9910405,28.339777,22.618141,141.69403,113.091995,96.44602
0.11454935,0.16683508,38.48552,0.11389724,0.16651598,38.402363,0.36491618,0.15086412,5.0016623,3.9915392,28.33854,22.618677,141.6957,113.09239,32.189056
0.0992956,0.2961351,16.553799,0.098951966,0.29660004,16.594799,0.60145503,0.15013655,5.0014014,3.9915671,28.339273,22.618458,141.69495,113.09335,64.42559
0.13455215,0.4742984,46.312637,0.13431387,0.47602212,46.35551,0.22904313,0.15086302,5.0015264,3.990085,28.339113,22.619204,141.69519,113.0924,85.148415
0.09817605,0.3328803,43.881447,0.098140195,0.3343047,43.846474,0.31896657,0.14967541,5.000747,3.9921916,28.338682,22.618813,141.69493,113.09321,46.925915
0.104035765,-0.011389406,19.235952,0.1038043,-0.0122129405,19.193594,0.5976491,0.14994079,5.000756,3.9921846,28.33838,22.618574,141.69516,113.09354,38.866093
0.11035755,0.44449463,42.930355,0.11013924,0.44469476,42.67149,0.36714664,0.15016302,5.001442,3.9919586,28.338444,22.618933,141.69427,113.09222,142.52898
0.079707086,0.4799161,18.363974,0.07968859,0.48103598,18.382402,0.77225316,0.14983936,4.999928,3.991938,28.339579,22.61898,141.69434,113.09234,309.6776
0.10077755,-0.08208297,13.897984,0.10055966,-0.08134227,13.641877,0.9573126,0.14946344,5.0008636,3.993336,28.338898,22.618858,141.69405,113.09209,468.59665
0.12757412,0.56566644,34.800755,0.12732269,0.5675601,34.688267,0.42342255,0.15073597,5.001117,3.9912496,28.338789,22.618029,141.6949,113.09093,193.79694
0.11829148,0.61854684,34.762226,0.11785891,0.62192625,34.623444,0.6629015,0.14953165,5.002069,3.9912229,28.340153,22.618326,141.69493,113.09208,526.59894
